,bib_number,half_1st,half_second,time_total_netto,time_total_brutto,5km,10km,15km,20km,25km,30km,35km,40km,last_name,first_name,grade_time
108,85,4849,5455,10303,10304,1124,2244,3368,4586,5732,7043,8305,9682,xxx,xxx,<3h
109,10403,5251,5054,10304,10335,1272,2497,3728,4984,6184,7451,8623,9815,xxx,xxx,<3h
110,5273,5260,5049,10309,10330,1219,2424,3664,5004,6172,7383,8550,9787,xxx,xxx,<3h
111,5334,5094,5217,10310,10317,1183,2352,3564,4825,6036,7303,8508,9764,xxx,xxx,<3h
112,65,4829,5484,10312,10312,1104,2211,3344,4569,5732,7033,8265,9661,xxx,xxx,<3h
113,5237,4710,5611,10321,10339,1080,2130,3240,4445,5618,6947,8316,9697,xxx,xxx,<3h
114,5347,5049,5280,10329,10337,1164,2309,3495,4781,5992,7313,8551,9811,xxx,xxx,<3h
115,5348,5156,5174,10330,10339,1240,2427,3628,4879,6080,7355,8558,9798,xxx,xxx,<3h
116,18219,4797,5549,10345,10352,1098,2198,3322,4528,5707,6994,8375,9758,xxx,xxx,<3h
117,106,5004,5346,10350,10352,1164,2319,3480,4731,5945,7282,8539,9829,xxx,xxx,<3h
118,300,5053,5301,10354,10381,1227,2376,3552,4786,5968,7233,8440,9777,xxx,xxx,<3h
119,114,5028,5327,10354,10369,1186,2340,3503,4751,5969,7261,8484,9780,xxx,xxx,<3h
120,61,5027,5329,10355,10369,1186,2340,3502,4751,5968,7261,8552,9779,xxx,xxx,<3h
121,5304,4858,5512,10370,10376,1105,2216,3347,4591,5764,7216,8509,9825,xxx,xxx,<3h
122,2755,5162,5209,10370,10371,1160,2359,3571,4875,6121,7394,8588,9850,xxx,xxx,<3h
123,7683,5134,5239,10372,10375,1206,2388,3583,4872,6068,7340,8518,9818,xxx,xxx,<3h
124,5382,5079,5297,10375,10414,1192,2361,3546,4816,5986,7262,8599,9840,xxx,xxx,<3h
125,12852,5214,5166,10379,10426,1257,2449,3654,4948,6128,7403,8595,9852,xxx,xxx,<3h
126,5378,5081,5300,10380,10400,1213,2374,3558,4812,5990,7261,8462,9806,xxx,xxx,<3h
127,2834,5022,5362,10383,10406,1186,2331,3496,4755,5945,7234,8443,9783,xxx,xxx,<3h
128,5302,5000,5394,10393,10437,1192,2316,3477,4730,5894,7194,8419,9804,xxx,xxx,<3h
129,2694,4963,5433,10396,10422,1177,2322,3477,4699,5873,7192,8574,9871,xxx,xxx,<3h
130,10285,5258,5148,10406,10417,1257,2468,3697,4987,6200,7458,8648,9872,xxx,xxx,<3h
131,5321,4986,5424,10409,10415,1153,2308,3474,4726,5910,7213,8451,9813,xxx,xxx,<3h
132,7731,5375,5035,10409,10445,1294,2519,3784,5106,6303,7566,8741,9913,xxx,xxx,<3h
133,18211,5076,5338,10413,10441,1223,2388,3566,4810,6015,7303,8509,9855,xxx,xxx,<3h
134,7800,5179,5237,10416,10417,1204,2394,3602,4900,6138,7440,8631,9877,xxx,xxx,<3h
135,7684,5255,5164,10418,10419,1238,2470,3698,4982,6202,7484,8684,9907,xxx,xxx,<3h
136,73,4988,5434,10422,10426,1172,2309,3446,4718,5985,7295,8511,9880,xxx,xxx,<3h
137,18209,5416,5014,10429,10446,1238,2490,3758,5130,6396,7683,8812,9937,xxx,xxx,<3h
138,7706,5099,5336,10435,10436,1189,2371,3563,4820,6048,7354,8574,9865,xxx,xxx,<3h
139,7816,5185,5253,10437,10459,1238,2437,3642,4915,6122,7410,8611,9883,xxx,xxx,<3h
140,5426,5249,5190,10438,10493,1255,2465,3670,4975,6184,7483,8657,9899,xxx,xxx,<3h
141,2675,5196,5246,10441,10448,1236,2442,3643,4924,6133,7436,8611,9897,xxx,xxx,<3h
142,12996,5111,5333,10444,10446,1195,2367,3571,4841,6058,7373,8608,9887,xxx,xxx,<3h
143,5182,4689,5763,10452,10452,1085,2129,3190,4411,5584,6989,8402,9828,xxx,xxx,<3h
144,5423,5036,5421,10457,10483,1193,2351,3521,4765,5974,7294,8536,9881,xxx,xxx,<3h
145,5234,4864,5595,10459,10460,1096,2203,3343,4596,5766,7088,8400,9866,xxx,xxx,<3h
146,7990,5236,5225,10460,10472,1247,2450,3663,4968,6159,7472,8668,9920,xxx,xxx,<3h
147,5262,4970,5491,10460,10461,1107,2268,3439,4694,5892,7219,8489,9865,xxx,xxx,<3h
148,7817,5098,5364,10462,10469,1188,2361,3543,4819,6042,7371,8596,9891,xxx,xxx,<3h
149,126,5160,5305,10465,10485,1223,2399,3593,4882,6102,7390,8580,9864,xxx,xxx,<3h
150,7715,5176,5290,10465,10488,1220,2396,3603,4900,6128,7439,8650,9928,xxx,xxx,<3h
151,2764,5160,5306,10466,10512,1258,2426,3599,4850,6092,7362,8558,9864,xxx,xxx,<3h
152,12847,5279,5192,10470,10486,1264,2499,3741,5012,6228,7506,8715,9954,xxx,xxx,<3h
153,2621,4891,5580,10470,10473,1128,2244,3386,4629,5781,7110,8349,9897,xxx,xxx,<3h
154,5239,4811,5671,10482,10483,1097,2186,3308,4554,5723,7038,8432,9880,xxx,xxx,<3h
155,7768,5182,5305,10487,10539,1257,2443,3635,4910,6103,7441,8652,9939,xxx,xxx,<3h
156,20171,5143,5345,10488,10489,1210,2389,3579,4871,6090,7393,8619,9918,xxx,xxx,<3h
157,2831,5428,5061,10489,10535,1513,2655,3841,5150,6320,7582,8739,9975,xxx,xxx,<3h
158,2957,5253,5242,10495,10569,1314,2515,3724,4982,6177,7434,8671,9945,xxx,xxx,<3h
159,5317,5308,5192,10499,10520,1266,2485,3720,5020,6263,7530,8710,9953,xxx,xxx,<3h
160,5420,5304,5196,10499,10548,1332,2569,3807,5039,6231,7503,8680,9940,xxx,xxx,<3h
161,7900,5263,5238,10501,10552,1279,2494,3714,4997,6201,7492,8714,9973,xxx,xxx,<3h
162,10542,5161,5357,10518,10595,1261,2401,3586,4887,6087,7418,8660,9973,xxx,xxx,<3h
163,2875,5176,5347,10523,10526,1193,2404,3606,4904,6121,7481,8682,9961,xxx,xxx,<3h
164,5301,5108,5425,10532,10594,1233,2400,3580,4839,6011,7299,8536,9936,xxx,xxx,<3h
165,127,5202,5343,10544,10585,1264,2477,3682,4935,6136,7413,8664,9976,xxx,xxx,<3h
166,11409,5474,5086,10559,10610,1381,2667,3920,5203,6419,7700,8859,10055,xxx,xxx,<3h
167,2602,5659,4903,10562,10598,1358,2663,3993,5398,6565,7768,8926,10066,xxx,xxx,<3h
168,5336,5160,5404,10563,10568,1226,2419,3621,4888,6086,7474,8688,9993,xxx,xxx,<3h
169,7853,5283,5282,10564,10609,1243,2463,3698,5002,6233,7534,8741,10014,xxx,xxx,<3h
170,2622,5537,5029,10565,10571,1351,2644,3925,5253,6488,7759,8920,10061,xxx,xxx,<3h
171,2780,5168,5399,10567,10593,1229,2420,3619,4895,6100,7417,8678,10021,xxx,xxx,<3h
172,7870,5191,5377,10567,10638,1271,2442,3639,4918,6124,7432,8672,9992,xxx,xxx,<3h
173,69,5259,5309,10567,10569,1180,2404,3663,4988,6182,7513,8727,10027,xxx,xxx,<3h
